state,stateLabel,stateQID,capitalLabel,population,area,borderStateLabel
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,Idaho
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,Nevada
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,Colorado
http://www.wikidata.org/entity/Q829,Utah,Q829,Salt Lake City,3271616,219653,New Mexico
http://www.wikidata.org/entity/Q16551,Vermont,Q16551,Montpelier,643077,24923,New Hampshire
http://www.wikidata.org/entity/Q16551,Vermont,Q16551,Montpelier,643077,24923,Massachusetts
http://www.wikidata.org/entity/Q16551,Vermont,Q16551,Montpelier,643077,24923,New York
http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862,West Virginia
http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862,Maryland
http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862,North Carolina
http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862,Tennessee
http://www.wikidata.org/entity/Q1370,Virginia,Q1370,Richmond,8631393,110862,Kentucky
http://www.wikidata.org/entity/Q1223,Washington,Q1223,Olympia,7705281,184827,Oregon
http://www.wikidata.org/entity/Q1223,Washington,Q1223,Olympia,7705281,184827,Idaho
http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755,Virginia
http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755,Maryland
http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755,Ohio
http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755,Pennsylvania
http://www.wikidata.org/entity/Q1371,West Virginia,Q1371,Charleston,1793716,62755,Kentucky
http://www.wikidata.org/entity/Q1537,Wisconsin,Q1537,Madison,5893718,169640,Michigan
http://www.wikidata.org/entity/Q1537,Wisconsin,Q1537,Madison,5893718,169640,Illinois
http://www.wikidata.org/entity/Q1537,Wisconsin,Q1537,Madison,5893718,169640,Minnesota
http://www.wikidata.org/entity/Q1537,Wisconsin,Q1537,Madison,5893718,169640,Iowa
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,Utah
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,South Dakota
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,Montana
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,Idaho
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,Colorado
http://www.wikidata.org/entity/Q1214,Wyoming,Q1214,Cheyenne,576851,253348,Nebraska
