"state","stateLabel","capitalLabel","population","area","categories"
"http://dbpedia.org/resource/Mississippi","Mississippi",,2943045,125433124183.5725,"1817 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Mississippi, Southern United States, States and territories established in 1817, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Mississippi","Mississippi",,2943045,125443000000.0,"1817 establishments in the United States, Contiguous United States, Former British colonies and protectorates in the Americas, Former French colonies, Mississippi, Southern United States, States and territories established in 1817, States of the Confederate States of America, States of the Gulf Coast of the United States, States of the United States"
"http://dbpedia.org/resource/Missouri","Missouri",,,180533000000.0,"1821 establishments in the United States, Contiguous United States, Midwestern United States, Missouri, States and territories established in 1821, States of the United States"
"http://dbpedia.org/resource/Missouri","Missouri",,,69704000000.0,"1821 establishments in the United States, Contiguous United States, Midwestern United States, Missouri, States and territories established in 1821, States of the United States"
"http://dbpedia.org/resource/Montana","Montana","Helena, Montana",,147040000000.0,"1889 establishments in the United States, Contiguous United States, Montana, States and territories established in 1889, States of the United States, Western United States"
"http://dbpedia.org/resource/Montana","Montana","Helena, Montana",,380800000000.0,"1889 establishments in the United States, Contiguous United States, Montana, States and territories established in 1889, States of the United States, Western United States"
"http://dbpedia.org/resource/Montana","Montana","Montana (state song)",,147040000000.0,"1889 establishments in the United States, Contiguous United States, Montana, States and territories established in 1889, States of the United States, Western United States"
"http://dbpedia.org/resource/Montana","Montana","Montana (state song)",,380800000000.0,"1889 establishments in the United States, Contiguous United States, Montana, States and territories established in 1889, States of the United States, Western United States"
"http://dbpedia.org/resource/Nebraska","Nebraska",,,200356000000.0,"1867 establishments in the United States, Articles containing video clips, Contiguous United States, Midwestern United States, Nebraska, States and territories established in 1867, States of the United States"
"http://dbpedia.org/resource/Nebraska","Nebraska",,,77347000000.0,"1867 establishments in the United States, Articles containing video clips, Contiguous United States, Midwestern United States, Nebraska, States and territories established in 1867, States of the United States"
"http://dbpedia.org/resource/Nevada","Nevada","Carson City, Nevada",,286382000000.0,"1864 establishments in Nevada, Contiguous United States, Former Spanish colonies, Nevada, States and territories established in 1864, States of the United States, Western United States"
"http://dbpedia.org/resource/Nevada","Nevada","Carson City, Nevada",,110577000000.0,"1864 establishments in Nevada, Contiguous United States, Former Spanish colonies, Nevada, States and territories established in 1864, States of the United States, Western United States"
"http://dbpedia.org/resource/New_Hampshire","New Hampshire","Concord, New Hampshire",,9350000000.0,"1788 establishments in the United States, Contiguous United States, New England states, New Hampshire, Northeastern United States, States and territories established in 1788, States of the East Coast of the United States, States of the United States"
