state1,state2,jaccard
Arizona,Oklahoma,0.1
Hawaii,Nevada,0.1
Oklahoma,Vermont,0.1
Hawaii,South Dakota,0.1
Massachusetts,Wyoming,0.1
Hawaii,Utah,0.1
Alabama,Idaho,0.1
Massachusetts,North Dakota,0.1
Idaho,Massachusetts,0.1
Idaho,Michigan,0.1
Idaho,New Jersey,0.1
Massachusetts,Montana,0.1
West Virginia,Wisconsin,0.1
Oregon,South Dakota,0.1
Connecticut,Wyoming,0.1
Missouri,West Virginia,0.1
New Hampshire,Wisconsin,0.1
Arizona,South Dakota,0.1
Arizona,Vermont,0.1
Arkansas,Missouri,0.1
Arkansas,Montana,0.1
New Mexico,Vermont,0.1
North Dakota,Tennessee,0.1
Arkansas,North Dakota,0.1
New Mexico,South Dakota,0.1
Arkansas,Wisconsin,0.1
New Jersey,Wyoming,0.1
New Jersey,Wisconsin,0.1
Arizona,Nebraska,0.1
Ohio,Wyoming,0.1
Nevada,Vermont,0.1
Nevada,South Dakota,0.1
Nebraska,Vermont,0.1
Arizona,Illinois,0.1
Connecticut,Missouri,0.1
Connecticut,Montana,0.1
Montana,Tennessee,0.1
Arizona,Hawaii,0.1
Montana,Ohio,0.1
Montana,New Jersey,0.1
Connecticut,Wisconsin,0.1
Idaho,Ohio,0.1
Connecticut,Idaho,0.1
Iowa,Massachusetts,0.1
Illinois,New Mexico,0.1
Kansas,New Hampshire,0.1
Kansas,Massachusetts,0.1
Kansas,Maine,0.1
Illinois,Nevada,0.1
Iowa,West Virginia,0.1
Iowa,New Jersey,0.1
Iowa,New Hampshire,0.1
Maine,Missouri,0.1
Kansas,Tennessee,0.1
Iowa,Maine,0.1
Indiana,Utah,0.1
Indiana,Oklahoma,0.1
Indiana,New Mexico,0.1
Indiana,Nevada,0.1
Illinois,Vermont,0.1
Maine,Wisconsin,0.1
Kansas,New Jersey,0.1
Illinois,Oregon,0.1
Kentucky,Maine,0.1
Kentucky,New Jersey,0.1
Kentucky,New Hampshire,0.1
Kentucky,Michigan,0.1
Kentucky,Massachusetts,0.1
Idaho,Tennessee,0.1
Kansas,West Virginia,0.1
Maine,New Mexico,0.09523809523809523
Colorado,North Dakota,0.09523809523809523
Nebraska,West Virginia,0.09523809523809523
Nevada,New Hampshire,0.09523809523809523
